"2.5CI","Median","97.5CI"
"183",1152.4149559832,1238.19911836412,1326.62862736184
"184",1152.65229959424,1238.7166030177,1327.31015506349
"185",1152.95067732361,1239.23087605402,1328.13089576811
"186",1153.45963796615,1239.78586125852,1328.89391076107
"187",1154.0127761221,1240.36792383859,1329.78778821622
"188",1154.38385247304,1240.91103436766,1330.60563752061
"189",1154.8033296975,1241.49662248076,1331.41347413248
"190",1154.9248710295,1242.05044865016,1332.22323929023
"191",1155.28968945089,1242.57538930985,1333.163525308
"192",1155.85318881137,1243.16456358141,1334.09440785073
"193",1156.2860974452,1243.73378786798,1334.90913474395
"194",1156.65489103836,1244.34299607315,1335.71531907531
"195",1157.07665583457,1245.00427392037,1336.5491660076
"196",1157.55163361689,1245.61030568538,1337.40012640049
"197",1158.02459441071,1246.25409105611,1338.31343892247
"198",1158.42660858932,1246.80736931533,1339.08696946206
"199",1158.78417805643,1247.39399376264,1339.93140823721
"200",1159.27417432781,1248.05058817692,1340.83553672596
"201",1159.59505498788,1248.65456979921,1341.62400229136
"202",1159.93386929882,1249.23210334033,1342.44438341924
"203",1160.33879508581,1249.78805152395,1343.24824653201
"204",1160.72416188806,1250.3610388405,1343.92920120231
"205",1161.15648300217,1250.92782408388,1344.80479582971
"206",1161.5703908872,1251.44761166946,1345.58132410156
"207",1162.02929829156,1252.05596292878,1346.35432612918
"208",1162.49882430035,1252.67752649803,1347.1229390824
"209",1162.97059173308,1253.20730962457,1347.88477888669
"210",1163.45731291514,1253.80390778627,1348.6411708318
"211",1163.79578766003,1254.15174919851,1349.25679686532
"212",1163.82376838664,1254.24750479481,1349.46903363069
"213",1163.59342044319,1253.98925765544,1349.2691070981
"214",1163.09541408564,1253.39087986834,1348.65910546605
"215",1162.30396792121,1252.46526565545,1347.60347932692
"216",1161.11599919773,1251.23204124767,1346.08353176308
"217",1159.68476166681,1249.60142831332,1344.31615048565
"218",1157.90454402057,1247.67766939881,1342.06418772369
"219",1155.96512510757,1245.48964723213,1339.56550371939
"220",1153.71123227332,1242.85525639297,1336.58930636726
"221",1151.23474692769,1239.9962979469,1333.23684595902
"222",1148.47115175824,1236.99840966404,1329.5301125141
"223",1145.48416960287,1233.6474405224,1325.26154936366
"224",1142.32779650014,1230.06865262055,1321.07359109394
"225",1138.81786179543,1226.06551042982,1316.50570051886
"226",1135.25198052685,1221.8104230656,1311.87752559589
"227",1131.27039303532,1217.16472428396,1307.07380365822
"228",1127.26785030765,1212.49177179249,1301.84493691875
"229",1122.83094486994,1207.70257043758,1296.48203949131
"230",1118.45936288437,1202.56028933601,1290.44616273025
"231",1113.82921493665,1197.27569365573,1284.53770164707
"232",1109.13103933356,1191.75303052701,1278.33381925127
"233",1104.04057815154,1186.00986784582,1271.74869902477
"234",1099.00948120702,1180.11612334135,1264.87032813767
