time,IPTGpre,aTcpre,IPTG,aTc
737,0.25,20,0.5,0
738,0.25,20,0.5,0
739,0.25,20,0.5,0
740,0.25,20,0.5,0
741,0.25,20,0.5,0
742,0.25,20,0.5,0
743,0.25,20,0.5,0
744,0.25,20,0.5,0
745,0.25,20,0.5,0
746,0.25,20,0.5,0
747,0.25,20,0.5,0
748,0.25,20,0.5,0
749,0.25,20,0.5,0
750,0.25,20,0.5,0
751,0.25,20,0.5,0
752,0.25,20,0.5,0
753,0.25,20,0.5,0
754,0.25,20,0.5,0
755,0.25,20,0.5,0
756,0.25,20,0.5,0
757,0.25,20,0.5,0
758,0.25,20,0.5,0
759,0.25,20,0.5,0
760,0.25,20,0.5,0
761,0.25,20,0.5,0
762,0.25,20,0.5,0
763,0.25,20,0.5,0
764,0.25,20,0.5,0
765,0.25,20,0.5,0
766,0.25,20,0.5,0
767,0.25,20,0.5,0
768,0.25,20,0.5,0
769,0.25,20,0.5,0
770,0.25,20,0.5,0
771,0.25,20,0.5,0
772,0.25,20,0.5,0
773,0.25,20,0.5,0
774,0.25,20,0.5,0
775,0.25,20,0.5,0
776,0.25,20,0.5,0
777,0.25,20,0.5,0
778,0.25,20,0.5,0
779,0.25,20,0,50
780,0.25,20,0,50
781,0.25,20,0,50
782,0.25,20,0,50
783,0.25,20,0,50
784,0.25,20,0,50
785,0.25,20,0,50
786,0.25,20,0,50
787,0.25,20,0,50
788,0.25,20,0,50
789,0.25,20,0,50
790,0.25,20,0,50
791,0.25,20,0,50
792,0.25,20,0,50
793,0.25,20,0,50
794,0.25,20,0.5,0
795,0.25,20,0.5,0
796,0.25,20,0.5,0
797,0.25,20,0.5,0
798,0.25,20,0.5,0
799,0.25,20,0.5,0
800,0.25,20,0.5,0
801,0.25,20,0.5,0
802,0.25,20,0.5,0
803,0.25,20,0.5,0
804,0.25,20,0.5,0
805,0.25,20,0.5,0
806,0.25,20,0.5,0
807,0.25,20,0.5,0
808,0.25,20,0.5,0
809,0.25,20,0.5,0
810,0.25,20,0.5,0
811,0.25,20,0.5,0
812,0.25,20,0.5,0
813,0.25,20,0.5,0
814,0.25,20,0.5,0
815,0.25,20,0.5,0
816,0.25,20,0.5,0
817,0.25,20,0.5,0
818,0.25,20,0.5,0
819,0.25,20,0.5,0
820,0.25,20,0.5,0
821,0.25,20,0.5,0
822,0.25,20,0.5,0
823,0.25,20,0.5,0
824,0.25,20,0.5,0
825,0.25,20,0.5,0
826,0.25,20,0.5,0
827,0.25,20,0.5,0
828,0.25,20,0.5,0
829,0.25,20,0.5,0
830,0.25,20,0.5,0
831,0.25,20,0.5,0
832,0.25,20,0.5,0
833,0.25,20,0.5,0
834,0.25,20,0.5,0
835,0.25,20,0.5,0
836,0.25,20,0.5,0
837,0.25,20,0.5,0
838,0.25,20,0.5,0
839,0.25,20,0.5,0
840,0.25,20,0.5,0
841,0.25,20,0.5,0
842,0.25,20,0.5,0
843,0.25,20,0.5,0
844,0.25,20,0.5,0
845,0.25,20,0.5,0
846,0.25,20,0.5,0
847,0.25,20,0.5,0
848,0.25,20,0.5,0
849,0.25,20,0.5,0
850,0.25,20,0.5,0
851,0.25,20,0.5,0
852,0.25,20,0.5,0
853,0.25,20,0.5,0
854,0.25,20,0.5,0
855,0.25,20,0.5,0
856,0.25,20,0.5,0
857,0.25,20,0.5,0
858,0.25,20,0.5,0
859,0.25,20,0.5,0
860,0.25,20,0.5,0
861,0.25,20,0.5,0
862,0.25,20,0.5,0
863,0.25,20,0.5,0
864,0.25,20,0.5,0
865,0.25,20,0.5,0
866,0.25,20,0.5,0
867,0.25,20,0.5,0
868,0.25,20,0.5,0
869,0.25,20,0,50
870,0.25,20,0,50
871,0.25,20,0,50
872,0.25,20,0,50
873,0.25,20,0,50
874,0.25,20,0,50
875,0.25,20,0,50
876,0.25,20,0,50
877,0.25,20,0,50
878,0.25,20,0,50
879,0.25,20,0,50
880,0.25,20,0,50
881,0.25,20,0,50
882,0.25,20,0,50
883,0.25,20,0,50
884,0.25,20,0.5,0
885,0.25,20,0.5,0
886,0.25,20,0.5,0
887,0.25,20,0.5,0
888,0.25,20,0.5,0
889,0.25,20,0.5,0
890,0.25,20,0.5,0
891,0.25,20,0.5,0
892,0.25,20,0.5,0
893,0.25,20,0.5,0
894,0.25,20,0.5,0
895,0.25,20,0.5,0
896,0.25,20,0.5,0
