time,IPTGpre,aTcpre,IPTG,aTc
731,1,0,0.48,1
732,1,0,0.48,1
733,1,0,0.48,1
734,1,0,0.45,11
735,1,0,0.45,11
736,1,0,0.45,11
737,1,0,0.45,11
738,1,0,0.45,11
739,1,0,0.46,7
740,1,0,0.46,7
741,1,0,0.46,7
742,1,0,0.46,7
743,1,0,0.46,7
744,1,0,0.47,24
745,1,0,0.47,24
746,1,0,0.47,24
747,1,0,0.47,24
748,1,0,0.47,24
749,1,0,0.43,18
750,1,0,0.43,18
751,1,0,0.43,18
752,1,0,0.43,18
753,1,0,0.43,18
754,1,0,0.41,15
755,1,0,0.41,15
756,1,0,0.41,15
757,1,0,0.41,15
758,1,0,0.41,15
759,1,0,0.41,26
760,1,0,0.41,26
761,1,0,0.41,26
762,1,0,0.41,26
763,1,0,0.41,26
764,1,0,0.41,24
765,1,0,0.41,24
766,1,0,0.41,24
767,1,0,0.41,24
768,1,0,0.41,24
769,1,0,0.4,28
770,1,0,0.4,28
771,1,0,0.4,28
772,1,0,0.4,28
773,1,0,0.4,28
774,1,0,0.41,36
775,1,0,0.41,36
776,1,0,0.41,36
777,1,0,0.41,36
778,1,0,0.41,36
779,1,0,0.41,36
780,1,0,0.41,36
